id,category,sub_category,lat,lon
82436961,education,college,13.1025376,77.5846495
82508422,education,college,13.0837179,77.5908706
106873634,education,college,12.9028666,77.5054705
113391316,education,college,12.9612853,77.505338
113775829,education,college,13.0050036,77.5702414
114786251,education,college,13.0054006,77.5634496
117082603,education,college,12.8792155,77.5446016
118414979,education,college,12.8886753,77.5506293
122691466,education,college,12.9665611,77.7123625
122918713,education,college,12.9578389,77.6583501
124538653,education,college,12.9657875,77.6932684
130127245,education,college,12.9863467,77.7521121
130630869,education,college,12.914344,77.7238616
130645780,education,college,13.0012591,77.759534
131441261,education,college,12.9323472,77.5814061
131443354,education,college,12.9626855,77.5869873
133000232,education,college,13.0893356,77.5458678
133117228,education,college,13.06833,77.5041222
133125316,education,college,13.1338993,77.5680227
133125754,education,college,13.0971976,77.5933939
133142991,education,college,12.9125019,77.5574602
133243133,education,college,12.8694537,77.5924812
133243141,education,college,12.8697456,77.5894985
133260533,education,college,12.9441474,77.5698222
133260539,education,college,12.9447614,77.5690337
133352375,education,college,13.0995495,77.5861771
133524186,education,college,12.9354991,77.6070165
133810608,education,college,13.0091728,77.5549771
133820242,education,college,12.9167091,77.6344757
133883975,education,college,12.9238224,77.6293213
133959857,education,college,12.9261322,77.5784848
133959897,education,college,12.9269529,77.5777402
134223205,education,college,12.9296322,77.6225544
134223490,education,college,12.9294621,77.6230045
134987718,education,college,12.9979094,77.6796321
135266048,education,college,12.985557,77.6465022
138223660,education,college,12.9720069,77.6379625
138991405,education,college,12.9615704,77.5902072
140868992,education,college,12.888835,77.6625981
141500478,education,college,12.9703731,77.6028019
141500479,education,college,12.9707952,77.6037613
141813089,education,college,12.9295525,77.5438556
142142415,education,college,13.0748637,77.4992054
143731427,education,college,12.9908989,77.5136588
147695305,education,college,12.9959291,77.5534995
148661098,education,college,12.9911892,77.5751401
150351526,education,college,12.9543926,77.5748476
157405718,education,college,12.8822942,77.5473129
160470309,education,college,13.0208864,77.7000346
163198436,education,college,12.9962805,77.5992082
166365464,education,college,13.0309742,77.5653217
166612453,education,college,12.9837431,77.5566697
168105379,education,college,12.9258084,77.499385
168171726,education,college,13.0250286,77.508529
169454717,education,college,13.029157,77.5698536
169719304,education,college,12.9830336,77.5377552
169816627,education,college,12.9651167,77.5434098
169984937,education,college,12.9768386,77.4831368
172845845,education,college,12.9415239,77.5659049
172845880,education,college,12.9378089,77.5583328
175876882,education,college,13.0239276,77.6148474
181469517,education,college,12.9849166,77.7627728
182826337,education,college,12.9883597,77.5906502
183863407,education,college,13.0270354,77.6362247
183863413,education,college,13.0304371,77.6222757
184943581,education,college,13.0360678,77.6199477
188208699,education,college,13.0833552,77.6358071
188210781,education,college,13.0815611,77.6455949
197373906,education,college,12.9363381,77.5782
201253920,education,college,13.0772866,77.5777966
208698152,education,college,12.969829,77.6017596
208745496,education,college,12.9714837,77.6098129
208827393,education,college,12.9835099,77.5868153
208827394,education,college,12.9795519,77.5831919
232044884,education,college,12.9119735,77.6527192
239547642,education,college,13.0062238,77.6507476
239572655,education,college,12.9987103,77.7534601
239738394,education,college,12.9357434,77.6001395
239738396,education,college,12.9330942,77.5981874
239758169,education,college,13.0071223,77.691142
239759555,education,college,13.0249583,77.7151415
240663075,education,college,12.9159539,77.6428697
240665267,education,college,12.916582,77.6425948
244031567,education,college,12.9206518,77.5589896
255664771,education,college,12.991534,77.5534907
257203639,education,college,12.940415,77.5808641
259157357,education,college,12.8682011,77.6165729
259570534,education,college,12.9815956,77.5529529
264548633,education,college,13.0297738,77.5678793
322896805,education,college,12.9849412,77.7174195
327032476,education,college,12.96239,77.5753
327032478,education,college,12.9637904,77.5759033
329470102,education,college,12.9468802,77.5038257
330038934,education,college,12.9795391,77.6364743
331547213,education,college,12.9012695,77.4972635
333519421,education,college,12.9120415,77.5845774
333519422,education,college,12.9107918,77.5852077
333519423,education,college,12.9117364,77.5848924
333519424,education,college,12.9110558,77.5845787
335369723,education,college,12.9529705,77.5881572
338245372,education,college,12.9432616,77.5807346
347206941,education,college,12.9765918,77.6931202
348459952,education,college,12.9415238,77.5543245
348535898,education,college,12.993405,77.5532866
349648491,education,college,12.9009789,77.6310342
352191252,education,college,12.9853903,77.5821375
362418041,education,college,12.9699963,77.6073679
363454311,education,college,12.9795215,77.5737218
365103916,education,college,12.9311425,77.513619
366981473,education,college,13.0055256,77.660902
369295559,education,college,12.9740209,77.6256572
370404411,education,college,12.9794943,77.6157027
370404412,education,college,12.9815445,77.6150638
373559560,education,college,13.0709774,77.4945382
374694446,education,college,12.9644875,77.644619
383571785,education,college,13.0708739,77.5107606
383573338,education,college,13.0735071,77.5108905
389341673,education,college,12.9284184,77.6125881
398078187,education,college,13.023797,77.5650562
408159169,education,college,12.9794932,77.6461121
408159171,education,college,12.9795029,77.6462653
412909362,education,college,13.1046531,77.5727797
421114582,education,college,12.9662043,77.5857228
442048027,education,college,12.9078095,77.5667368
454038609,education,college,12.9709976,77.6355707
456608491,education,college,13.0111621,77.7016114
487587789,education,college,13.1293847,77.5870618
494678981,education,college,12.9770722,77.7303429
553065523,education,college,12.9646123,77.6612151
628739078,education,college,13.1239991,77.620464
649511148,education,college,12.9741687,77.5843315
673677240,education,college,12.9482151,77.5968238
679185384,education,college,13.0218201,77.7034289
687173287,education,college,13.029708,77.641506
688353425,education,college,12.9810372,77.6246913
705023785,education,college,13.0937579,77.5763163
23030047,education,school,12.9642561,77.6004116
24355353,education,school,12.9118811,77.6644062
24365709,education,school,12.8883789,77.6575244
24530992,education,school,12.8709985,77.6536219
28262977,education,school,12.9123537,77.6453278
31231510,education,school,12.9594873,77.6402324
32291138,education,school,12.9406352,77.6209531
35185823,education,school,13.0472496,77.6467686
35909196,education,school,13.0466303,77.642799
35912228,education,school,13.0694633,77.6598762
35927358,education,school,13.0526229,77.6466325
37107603,education,school,13.0158394,77.5756375
37136671,education,school,12.9876738,77.6147713
37351657,education,school,12.8933364,77.5637095
37351658,education,school,12.8938182,77.5627707
37763936,education,school,12.9674814,77.6128609
37827925,education,school,13.0253767,77.6425302
37828583,education,school,13.0279042,77.6406233
38416322,education,school,13.0265881,77.6327306
38421704,education,school,13.0178967,77.6369432
38752413,education,school,12.9582979,77.5734987
38752414,education,school,12.9488247,77.5729846
38758706,education,school,12.9641326,77.5873057
38758707,education,school,12.9646803,77.588875
38772819,education,school,12.9660468,77.6097118
38772821,education,school,12.9656947,77.608921
38772823,education,school,12.9690246,77.6043278
38773283,education,school,12.9682374,77.5992202
38773287,education,school,12.970205,77.5951544
38832006,education,school,13.0092841,77.568501
38858223,education,school,13.0066816,77.580846
38870603,education,school,12.9865966,77.5869032
40629057,education,school,12.9525682,77.5728546
40629064,education,school,12.943131,77.5743438
40629075,education,school,12.9387001,77.5859
40631636,education,school,12.9271265,77.5987883
41206235,education,school,13.1009158,77.583847
41206236,education,school,13.1011671,77.5845735
41206237,education,school,13.1024532,77.5835384
41210246,education,school,13.0555589,77.5366343
41499025,education,school,12.9808636,77.642648
42013556,education,school,13.0441165,77.5380409
42397792,education,school,13.0347602,77.5790998
42407830,education,school,13.0490487,77.555062
43471362,education,school,13.0529112,77.6464481
44883673,education,school,12.9443765,77.7097298
45333229,education,school,13.0031397,77.5678022
45375850,education,school,12.9921622,77.5743798
45738150,education,school,13.0259166,77.5942803
45739922,education,school,13.0184494,77.595658
46243830,education,school,13.0551968,77.5405491
46918812,education,school,13.0300022,77.5587277
46950393,education,school,13.0066464,77.5777168
46953029,education,school,13.0115185,77.6505269
49239883,education,school,13.0182525,77.559922
49712539,education,school,12.9713385,77.6286286
51130921,education,school,13.0272861,77.652738
51132139,education,school,13.0329374,77.6514733
51140711,education,school,13.0068787,77.5744284
52025453,education,school,13.0731597,77.5530813
53849356,education,school,12.9628398,77.5698526
53849358,education,school,12.9620044,77.5682049
53859310,education,school,12.9811071,77.5676557
54147274,education,school,12.9723666,77.54339
54147278,education,school,12.9697637,77.5441096
54147983,education,school,12.9655212,77.5416734
54148030,education,school,12.9645623,77.5417803
54148031,education,school,12.9593131,77.5353955
54148039,education,school,12.9735534,77.5483142
54963214,education,school,13.0380222,77.5902938
55135907,education,school,13.0046062,77.5617344
55675141,education,school,12.9287914,77.5876975
59358843,education,school,12.9797131,77.6285671
82432642,education,school,13.1027468,77.5802093
82494611,education,school,13.0950336,77.5902738
82494614,education,school,13.0963852,77.5911416
82494619,education,school,13.0965348,77.5897477
82508419,education,school,13.0960528,77.5794158
90292782,education,school,12.9486379,77.7186985
102937348,education,school,13.0040138,77.7185468
114786334,education,school,13.00475,77.5641911
117313803,education,school,13.119396,77.5942252
120108572,education,school,12.8682046,77.5673977
122270534,education,school,12.9646513,77.7242701
122403363,education,school,12.9863803,77.7068884
122668468,education,school,12.9765195,77.7422232
124013167,education,school,12.9565683,77.7379432
128510776,education,school,12.9692951,77.6468898
129843837,education,school,12.970658,77.7475625
130630294,education,school,12.9427295,77.7465757
130630621,education,school,12.9329423,77.741818
130989412,education,school,12.9442377,77.5865305
132910904,education,school,12.9257664,77.5680128
133020179,education,school,13.0444977,77.5545298
133020314,education,school,13.0434541,77.5510744
133115272,education,school,12.9486851,77.5756089
133116295,education,school,12.9545796,77.5679194
133117196,education,school,13.049256,77.5054794
133125287,education,school,13.1185742,77.5756162
133125764,education,school,13.0968554,77.5944266
133125919,education,school,13.1302231,77.6170432
133243116,education,school,12.8810703,77.568899
133243142,education,school,12.8718813,77.5930211
133257538,education,school,12.991865,77.6128646
133297837,education,school,13.0320175,77.5760318
133467007,education,school,13.0486001,77.5755015
133486235,education,school,12.9872962,77.6088
133486238,education,school,12.9932918,77.6104129
133596134,education,school,13.0079159,77.5452028
133822899,education,school,12.9251634,77.6292718
135266054,education,school,12.9858533,77.6475563
135266058,education,school,12.9844048,77.6464625
136477081,education,school,12.9736969,77.7482713
136507312,education,school,12.9778771,77.7481154
138223945,education,school,12.9625255,77.6060778
141454554,education,school,12.9705843,77.7504976
141454555,education,school,12.9704794,77.7504253
141454557,education,school,12.9703912,77.7504722
141500473,education,school,12.9717141,77.603612
141816745,education,school,12.9317713,77.5414635
142374812,education,school,12.9704702,77.6290171
143940828,education,school,12.9617336,77.7133527
145112266,education,school,12.9861174,77.7523036
145112267,education,school,12.9858922,77.7525584
145112268,education,school,12.9859657,77.7527841
149418909,education,school,13.0120989,77.5577312
155973105,education,school,12.9558194,77.7315639
157204432,education,school,12.9573026,77.7112241
158239960,education,school,12.9352482,77.7459231
159031330,education,school,12.9764303,77.7499449
159852775,education,school,12.9998691,77.6843024
161298656,education,school,12.9082631,77.5784144
164137775,education,school,12.9695899,77.6505985
164137776,education,school,12.968915,77.6504
164569963,education,school,12.9167511,77.6730233
165326625,education,school,12.9796803,77.6390186
166612475,education,school,12.9746539,77.5621491
166612476,education,school,12.9846189,77.5559879
168345821,education,school,12.9790583,77.7480101
169722382,education,school,13.0228543,77.6330849
169806840,education,school,12.9550848,77.5323257
172899266,education,school,12.9537205,77.5938108
172899341,education,school,12.953604,77.594885
172937189,education,school,12.9521538,77.5748728
172947365,education,school,12.9445122,77.6068121
172952766,education,school,13.0028716,77.6157463
173006692,education,school,12.9869416,77.6007518
173039120,education,school,13.0063157,77.6148812
173039121,education,school,13.0108569,77.6214651
173579771,education,school,12.9740757,77.5310434
174046849,education,school,12.9518935,77.7067568
175063893,education,school,13.0097721,77.6402524
175068138,education,school,13.0158131,77.6310206
179092126,education,school,12.8932706,77.6134598
182826338,education,school,12.9888632,77.5908399
188334989,education,school,13.0076062,77.6846733
188431720,education,school,12.8664787,77.5339062
188431776,education,school,12.8809516,77.5469042
191035698,education,school,12.9813859,77.5593257
191035701,education,school,12.9805003,77.55978
191101727,education,school,12.8834582,77.5838057
192051391,education,school,12.9787896,77.5111454
192184220,education,school,13.0032981,77.5452173
198161707,education,school,12.8817151,77.5758856
198414212,education,school,12.9261782,77.6694772
202062391,education,school,12.9088231,77.5402569
202799608,education,school,12.9411332,77.5808551
206841897,education,school,12.8975086,77.5820337
207854064,education,school,13.0288234,77.6531321
211067633,education,school,13.0269684,77.6004156
213366824,education,school,13.0221585,77.7005991
216574077,education,school,12.8838433,77.5952314
217558963,education,school,12.9938387,77.6194711
217558973,education,school,13.0028753,77.626829
218907535,education,school,12.9791684,77.6953458
219381382,education,school,12.9762217,77.5393391
219618426,education,school,12.9947329,77.6953709
220553492,education,school,12.9999802,77.5421482
222278954,education,school,12.9940136,77.5319539
224632095,education,school,12.988191,77.6044712
225194405,education,school,13.0814897,77.5581143
225265458,education,school,13.0658952,77.5700767
225648955,education,school,13.0857583,77.5576824
225648957,education,school,13.0839774,77.5571474
230206695,education,school,12.9147617,77.6789684
232237163,education,school,12.9171361,77.6319738
236678607,education,school,12.8847076,77.597022
237087599,education,school,12.8984865,77.6203664
239548076,education,school,13.0074416,77.6552624
239716193,education,school,13.0313671,77.6685691
239716960,education,school,13.0330113,77.6735548
239758027,education,school,13.0049932,77.685926
240662779,education,school,12.9165286,77.6430359
240823217,education,school,12.9310766,77.7598364
245016872,education,school,13.0303057,77.5444519
249906110,education,school,13.020367,77.5542909
251505644,education,school,12.9298318,77.741405
251505661,education,school,12.9228787,77.7361725
251666165,education,school,12.9640388,77.758752
251666166,education,school,12.9450981,77.7533333
252086267,education,school,13.0062625,77.704755
252087018,education,school,13.0101494,77.7016436
252087030,education,school,13.0110447,77.7047626
257625419,education,school,12.9962242,77.583585
257750531,education,school,13.0163698,77.6808917
257750537,education,school,13.0190984,77.6815387
259894700,education,school,12.95328,77.714898
271785238,education,school,12.9902734,77.5654219
271785644,education,school,12.9903601,77.5648847
275613842,education,school,13.0670066,77.5938837
283808758,education,school,12.9989638,77.7030904
290364531,education,school,12.877533,77.5997024
306519532,education,school,13.0704296,77.5289365
307146077,education,school,13.0351357,77.5570461
307414834,education,school,12.8847022,77.5513895
307414835,education,school,12.9030917,77.5103778
313827394,education,school,12.9150033,77.6374858
314079480,education,school,12.9944421,77.5532242
314210261,education,school,12.9791029,77.673914
318065800,education,school,12.9171961,77.6705838
323037303,education,school,12.9730342,77.6690277
323089966,education,school,12.9185158,77.6473852
323089967,education,school,12.9164577,77.6421147
323120232,education,school,12.9590748,77.6500181
323120612,education,school,12.9574386,77.6485014
323217256,education,school,12.9556183,77.6534916
323458337,education,school,12.9479026,77.5965298
323458338,education,school,12.9448224,77.6004059
325139577,education,school,12.923014,77.6501456
329298738,education,school,12.9676277,77.6134409
329411701,education,school,13.0100331,77.6569506
330031500,education,school,12.9762573,77.6366632
330038220,education,school,12.9805411,77.6375174
330321125,education,school,12.9515827,77.4876548
330741927,education,school,12.9096827,77.5807894
330741928,education,school,12.9096813,77.5812657
331330194,education,school,12.9800897,77.6403029
331367431,education,school,12.9680106,77.6552467
331683238,education,school,12.9819678,77.6445368
334653046,education,school,12.8828291,77.6241711
335169247,education,school,13.0030674,77.5725552
335172719,education,school,12.9908973,77.5788013
338104350,education,school,12.9902609,77.6635895
338317081,education,school,12.9422888,77.5855137
338457515,education,school,12.9441165,77.5741249
340255765,education,school,12.9656776,77.655443
340255766,education,school,12.9725874,77.6565854
345917371,education,school,12.9447233,77.6288068
345966224,education,school,12.9794856,77.6775402
346508060,education,school,12.9661906,77.5851087
346527390,education,school,12.9936891,77.5394973
346554916,education,school,12.9736554,77.6400279
346876264,education,school,13.0093534,77.5616755
347117994,education,school,12.9816506,77.6431558
347118544,education,school,12.9793826,77.644744
347119640,education,school,12.979953,77.6437396
347147615,education,school,12.8816137,77.6236081
347176902,education,school,12.9109554,77.5871743
347412137,education,school,12.9813379,77.6445924
347505016,education,school,12.9479202,77.5707028
347528875,education,school,12.9506642,77.5778323
347533784,education,school,12.9284979,77.5880025
348133620,education,school,12.9345577,77.4941311
348134936,education,school,12.9588046,77.6614705
348272691,education,school,12.9401419,77.5485244
348273191,education,school,12.939932,77.5488064
348459990,education,school,12.9410637,77.5543987
348460058,education,school,12.9354912,77.550587
348460459,education,school,12.9373127,77.5503892
348478873,education,school,12.9380298,77.5523133
348478886,education,school,12.9380628,77.5515971
348498473,education,school,12.9147118,77.59407
349542323,education,school,12.9184936,77.5959747
350509765,education,school,12.927045,77.5559702
353374337,education,school,13.0220546,77.5928375
354557129,education,school,12.9914025,77.5357164
363099987,education,school,12.9560069,77.7003934
363458703,education,school,12.9932061,77.613896
365255370,education,school,12.9684221,77.6570302
368126724,education,school,13.0876614,77.5975843
368769671,education,school,12.981468,77.6422558
368769672,education,school,12.9816078,77.641494
368772813,education,school,12.9803275,77.6426774
369134901,education,school,13.0964021,77.5857972
369135176,education,school,13.0998229,77.5844159
383571792,education,school,13.0715237,77.5097402
383573054,education,school,13.073166,77.510151
388813861,education,school,12.9972984,77.57066
389877536,education,school,13.0028187,77.5466654
391707444,education,school,12.995393,77.7186176
397737944,education,school,12.9633497,77.6451765
400484611,education,school,12.9877342,77.5970162
401829358,education,school,12.9237365,77.5233215
402869173,education,school,12.9448103,77.6296593
409955776,education,school,12.9187771,77.6975307
411052127,education,school,12.9989467,77.6143957
411052968,education,school,12.9478244,77.5654051
411067255,education,school,12.9590235,77.5722549
411067257,education,school,12.9601515,77.5698
413529795,education,school,13.085664,77.5490865
413529796,education,school,13.0848132,77.5490275
420690859,education,school,13.0844418,77.5850569
437563237,education,school,12.9224123,77.4889339
437871416,education,school,12.9973851,77.5552515
439843210,education,school,12.8923091,77.5853171
441572865,education,school,12.9492806,77.6212513
442786620,education,school,12.9841626,77.5496809
445480312,education,school,12.8944062,77.5557923
450537529,education,school,12.9068347,77.7047444
450595902,education,school,12.9471795,77.6809466
452680882,education,school,13.0437984,77.5699975
454700249,education,school,12.9643086,77.6470835
454707669,education,school,12.9735163,77.6557384
462152431,education,school,13.0560399,77.6289674
469353409,education,school,12.9061282,77.5577651
476030209,education,school,12.9471035,77.7014596
479981469,education,school,12.9192913,77.5592937
487956085,education,school,12.9662473,77.611533
487959492,education,school,12.9613591,77.6168058
513025075,education,school,12.925472,77.4987353
513199847,education,school,12.9391851,77.7476817
514073933,education,school,12.9311931,77.6040459
518601913,education,school,12.9699372,77.7277244
521592163,education,school,12.925358,77.5940216
525510061,education,school,12.9607921,77.6947873
525512526,education,school,13.0052415,77.6611555
525518302,education,school,13.0263279,77.6559927
545806417,education,school,13.003998,77.5525806
553065507,education,school,12.9652124,77.6620234
553065516,education,school,12.960591,77.6647037
